Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
2,-63.3357,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.54957 1.00000 7.58990, 5.18440 1.00000 9.72586, 5.12576 1.00000 10.06890, 5.08725 1.00000 9.84364"
2,-63.4371,Tx-D-Rx,3,"-1.00000 1.00000 6.00000, 3.09087 1.00000 6.33660, 5.08725 1.00000 9.84364"
2,-64.3502,Tx-D-R-Rx,4,"-1.00000 1.00000 6.00000, 5.16344 1.00178 7.59025, 5.14338 1.00131 6.33660, 5.08725 1.00000 9.84364"
2,-64.6168,Tx-R-R-T-R-T-Rx,7,"-1.00000 1.00000 6.00000, 1.41222 2.36833 1.96475, 2.56105 3.02001 3.88656, 5.15072 1.55102 8.21865, 5.60468 1.29351 8.97806, 5.16235 1.04260 9.71801, 5.08725 1.00000 9.84364"
2,-64.634,Tx-D-T-R-R-T-Rx,7,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.43212 1.00000 7.59014, 5.15071 1.00000 8.09633, 5.60468 1.00000 8.91291, 5.15887 1.00000 9.71482, 5.08725 1.00000 9.84364"
2,-65.0982,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 5.60376 1.00020 7.52428, 5.51668 1.00019 7.58997, 5.15071 1.00017 7.86602, 3.80811 1.00008 8.87876, 5.08725 1.00000 9.84364"
2,-65.8618,Tx-D-R-Rx,4,"-1.00000 1.00000 6.00000, 3.11391 1.00004 7.40549, 3.57486 1.00003 6.33660, 5.08725 1.00000 9.84364"
2,-66.701,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 5.60404 1.00025 7.52555, 5.59204 1.00024 7.58982, 5.19332 1.00005 9.72586, 5.12929 1.00002 10.06890, 5.08725 1.00000 9.84364"
2,-67.1475,Tx-R-D-T-R-T-Rx,7,"-1.00000 1.00000 6.00000, 3.07518 1.00000 7.41959, 3.11275 1.00000 7.40651, 3.55345 1.00000 6.33660, 3.59806 1.00000 6.22830, 3.64267 1.00000 6.33660, 5.08725 1.00000 9.84364"
2,-67.9174,Tx-R-D-R-T-R-T-Rx,8,"-1.00000 1.00000 6.00000, 5.57273 0.96003 3.80151, 5.47623 0.95944 3.76923, 3.76737 0.97650 6.32369, 5.15072 0.99030 8.39157, 5.60468 0.99483 9.07017, 5.16604 0.99921 9.72586, 5.08725 1.00000 9.84364"
2,-68.1421,Tx-R-D-R-T-T-R-Rx,8,"-1.00000 1.00000 6.00000, 3.03563 1.00017 7.41959, 5.60443 1.00028 6.51598, 5.58200 1.00027 6.33660, 5.42529 1.00018 7.59016, 5.15960 1.00004 9.71542, 5.11541 1.00002 10.06890, 5.08725 1.00000 9.84364"
2,-68.2673,Tx-R-D-T-R-T-Rx,7,"-1.00000 1.00000 6.00000, 3.07345 1.00002 7.41959, 3.11391 1.00002 7.40549, 3.55403 1.00002 6.33660, 3.59862 1.00002 6.22830, 3.64321 1.00002 6.33660, 5.08725 1.00000 9.84364"
2,-68.5769,Tx-R-D-R-R-Rx,6,"-1.00000 1.00000 6.00000, 3.07518 1.00000 7.41959, 3.11275 1.00000 7.40651, 3.53295 1.00000 6.33660, 4.99879 1.00000 10.06890, 5.08725 1.00000 9.84364"
2,-68.6075,Tx-R-D-R-Rx,5,"-1.00000 1.00000 6.00000, -5.65853 1.00045 6.48058, 5.15665 1.00151 7.59629, 5.13831 1.00111 6.33660, 5.08725 1.00000 9.84364"
