Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
2,-58.9496,Tx-D-T-T-Rx,5,"1 -6 1, -5.60442 -7.52618 1.0002, -5.59022 -7.58982 1.0002, -5.15074 -9.55915 1.00002, -5.08725 -9.84364 1"
2,-59.4474,Tx-R-D-R-Rx,5,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.57431 -6.3366 0.999996, -5.08725 -9.84364 1"
2,-60.2054,Tx-D-T-T-Rx,5,"1 -6 1, -5.60166 -7.28516 1, -5.54039 -7.58992 1, -5.15075 -9.52785 1, -5.08725 -9.84364 1"
2,-60.2814,Tx-R-D-R-Rx,5,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.57486 -6.3366 1.00002, -5.08725 -9.84364 1"
2,-61.8847,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60442 -7.52618 1.00019, -5.59254 -7.58982 1.00019, -5.19343 -9.72586 1.00004, -5.12934 -10.0689 1.00002, -5.08725 -9.84364 1"
2,-62.4184,Tx-R-D-R-R-Rx,6,"1 -6 1, -3.07518 -7.41959 0.999994, -3.11275 -7.40651 0.999994, -3.60399 -6.3366 0.999992, -5.15073 -9.70535 0.999994, -5.08725 -9.84364 1"
2,-62.8817,Tx-D-T-T-Rx,5,"1 -6 1, -5.60404 -7.52555 1.00022, -5.58971 -7.58982 1.00021, -5.15074 -9.55885 1.00003, -5.08725 -9.84364 1"
2,-62.9861,Tx-R-D-R-R-Rx,6,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.60452 -6.3366 1.00001, -5.15073 -9.70531 0.999995, -5.08725 -9.84364 1"
2,-62.9962,Tx-R-D-R-T-T-Rx,7,"1 -6 1, -2.41091 -7.41959 1.00009, -2.44356 -7.406 1.00009, -3.21022 -5.72291 1.00006, -3.44044 -6.2283 1.00005, -3.48977 -6.3366 1.00005, -5.08725 -9.84364 1"
2,-63.3357,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60166 -7.28516 1, -5.54957 -7.5899 1, -5.1844 -9.72586 1, -5.12576 -10.0689 1, -5.08725 -9.84364 1"
2,-63.4371,Tx-D-Rx,3,"1 -6 1, -3.09087 -6.3366 0.999998, -5.08725 -9.84364 1"
2,-64.3502,Tx-D-R-Rx,4,"1 -6 1, -5.16344 -7.59025 1.00178, -5.14338 -6.3366 1.00131, -5.08725 -9.84364 1"
2,-64.6168,Tx-R-R-T-R-T-Rx,7,"1 -6 1, -1.41222 -1.96475 2.36833, -2.56105 -3.88656 3.02001, -5.15072 -8.21865 1.55102, -5.60468 -8.97806 1.29351, -5.16235 -9.71801 1.0426, -5.08725 -9.84364 1"
2,-64.634,Tx-D-T-R-R-T-Rx,7,"1 -6 1, -5.60166 -7.28516 0.999999, -5.43212 -7.59014 0.999999, -5.15071 -8.09633 0.999999, -5.60468 -8.91291 0.999998, -5.15887 -9.71482 1, -5.08725 -9.84364 1"
2,-65.0982,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60376 -7.52428 1.0002, -5.51668 -7.58997 1.00019, -5.15071 -7.86602 1.00017, -3.80811 -8.87876 1.00008, -5.08725 -9.84364 1"
2,-65.8618,Tx-D-R-Rx,4,"1 -6 1, -3.11391 -7.40549 1.00004, -3.57486 -6.3366 1.00003, -5.08725 -9.84364 1"
