Rx_Number,Path_Power,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
3,-39.3461,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.71154 0.28298 5.00642, -5.65853 0.73903 7.02564, -5.10290 0.82502 7.40635, -0.74116 1.50000 4.41777"
3,-39.5008,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -1.36809 3.02001 4.57485, -0.74116 1.50000 4.41777"
3,-39.6519,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -5.39468 0.76117 4.68754, -0.74116 1.50000 4.41777"
3,-41.3212,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70610 0.28101 4.81835, -0.74116 1.50000 4.41777"
3,-41.4902,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.84323, -5.39468 0.72806 4.68763, -0.74116 1.50000 4.41777"
3,-41.9955,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.84308, -5.34437 0.89309 4.68660, -0.74116 1.50000 4.41777"
3,-43.8065,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -2.70683 0.28199 4.81825, -0.74116 1.50000 4.41777"
3,-44.1386,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70610 0.28101 5.33110, -1.90083 0.78058 7.40635, -0.74116 1.50000 4.41777"
3,-45.9417,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.92337 4.68660, -0.74116 1.50000 4.41777"
3,-46.2997,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34309 0.91963 4.68668, -0.74116 1.50000 4.41777"
3,-46.8506,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.39468 0.70277 4.68806, -0.74116 1.50000 4.41777"
3,-47.1722,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30879 0.28993 4.97435, -2.71154 0.28298 5.23550, -5.65853 0.73903 7.16888, -5.29656 0.79505 7.40635, -0.74116 1.50000 4.41777"
3,-47.5704,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -5.28096 0.37212 6.74055, -5.65853 0.45255 7.00114, -5.07140 0.57761 7.40635, -0.74116 1.50000 4.41777"
3,-47.6639,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.93748 0.28298 5.15821, -5.28096 0.37212 6.74103, -5.65853 0.45255 7.00159, -5.07198 0.57749 7.40635, -0.74116 1.50000 4.41777"
