Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
106,0.0000,Tx-Rx,0,-60.9798,"0.15000 -4.90000 1.10000, 3.65000 -7.55000 0.10000"
107,0.0000,Tx-Rx,0,-60.0001,"0.15000 -4.90000 1.10000, 3.95000 -7.55000 0.10000"
108,0.0000,Tx-Rx,0,-59.7102,"0.15000 -4.90000 1.10000, 4.25000 -7.55000 0.10000"
109,0.0000,Tx-Rx,0,-59.1955,"0.15000 -4.90000 1.10000, 4.55000 -7.55000 0.10000"
110,0.0000,Tx-Rx,0,-58.4730,"0.15000 -4.90000 1.10000, 4.85000 -7.55000 0.10000"
111,0.0000,Tx-Rx,0,-57.1216,"0.15000 -4.90000 1.10000, 5.15000 -7.55000 0.10000"
112,0.0000,Tx-Rx,0,-57.5853,"0.15000 -4.90000 1.10000, 5.45000 -7.55000 0.10000"
113,0.0000,Tx-Rx,0,-59.1703,"0.15000 -4.90000 1.10000, 5.75000 -7.55000 0.10000"
114,0.0000,Tx-Rx,0,-59.7445,"0.15000 -4.90000 1.10000, 6.05000 -7.55000 0.10000"
115,0.0000,Tx-Rx,0,-59.9440,"0.15000 -4.90000 1.10000, 6.35000 -7.55000 0.10000"
116,0.0000,Tx-Rx,0,-59.3814,"0.15000 -4.90000 1.10000, 6.65000 -7.55000 0.10000"
117,0.0000,Tx-Rx,0,-58.2150,"0.15000 -4.90000 1.10000, 6.95000 -7.55000 0.10000"
118,0.0000,Tx-Rx,0,-54.7900,"0.15000 -4.90000 1.10000, 7.25000 -7.55000 0.10000"
119,0.0000,Tx-Rx,0,-52.8815,"0.15000 -4.90000 1.10000, 7.55000 -7.55000 0.10000"
120,0.0000,Tx-Rx,0,-51.7310,"0.15000 -4.90000 1.10000, 7.85000 -7.55000 0.10000"
121,0.0000,Tx-Rx,0,-113.2001,"0.15000 -4.90000 1.10000, -9.85000 -7.25000 0.10000"
122,0.0000,Tx-Rx,0,-121.7182,"0.15000 -4.90000 1.10000, -9.55000 -7.25000 0.10000"
123,0.0000,Tx-Rx,0,-144.1095,"0.15000 -4.90000 1.10000, -9.25000 -7.25000 0.10000"
124,0.0000,Tx-Rx,0,-131.3905,"0.15000 -4.90000 1.10000, -8.95000 -7.25000 0.10000"
125,0.0000,Tx-Rx,0,-129.4502,"0.15000 -4.90000 1.10000, -8.65000 -7.25000 0.10000"
126,0.0000,Tx-Rx,0,-99.3011,"0.15000 -4.90000 1.10000, -8.35000 -7.25000 0.10000"
127,0.0000,Tx-Rx,0,-88.2895,"0.15000 -4.90000 1.10000, -8.05000 -7.25000 0.10000"
128,0.0000,Tx-Rx,0,-84.9530,"0.15000 -4.90000 1.10000, -7.75000 -7.25000 0.10000"
129,0.0000,Tx-Rx,0,-84.0864,"0.15000 -4.90000 1.10000, -7.45000 -7.25000 0.10000"
130,0.0000,Tx-Rx,0,-81.3764,"0.15000 -4.90000 1.10000, -7.15000 -7.25000 0.10000"
131,0.0000,Tx-Rx,0,-78.7472,"0.15000 -4.90000 1.10000, -6.85000 -7.25000 0.10000"
132,0.0000,Tx-Rx,0,-79.5303,"0.15000 -4.90000 1.10000, -6.55000 -7.25000 0.10000"
133,0.0000,Tx-Rx,0,-77.0545,"0.15000 -4.90000 1.10000, -6.25000 -7.25000 0.10000"
134,0.0000,Tx-Rx,0,-76.2924,"0.15000 -4.90000 1.10000, -5.95000 -7.25000 0.10000"
135,0.0000,Tx-Rx,0,-75.2154,"0.15000 -4.90000 1.10000, -5.65000 -7.25000 0.10000"
136,0.0000,Tx-Rx,0,-74.8926,"0.15000 -4.90000 1.10000, -5.35000 -7.25000 0.10000"
137,0.0000,Tx-Rx,0,-74.7533,"0.15000 -4.90000 1.10000, -5.05000 -7.25000 0.10000"
138,0.0000,Tx-Rx,0,-75.2947,"0.15000 -4.90000 1.10000, -4.75000 -7.25000 0.10000"
139,0.0000,Tx-Rx,0,-74.6813,"0.15000 -4.90000 1.10000, -4.45000 -7.25000 0.10000"
140,0.0000,Tx-Rx,0,-74.7211,"0.15000 -4.90000 1.10000, -4.15000 -7.25000 0.10000"
141,0.0000,Tx-Rx,0,-74.5460,"0.15000 -4.90000 1.10000, -3.85000 -7.25000 0.10000"
142,0.0000,Tx-Rx,0,-73.9929,"0.15000 -4.90000 1.10000, -3.55000 -7.25000 0.10000"
143,0.0000,Tx-Rx,0,-74.0999,"0.15000 -4.90000 1.10000, -3.25000 -7.25000 0.10000"
144,0.0000,Tx-Rx,0,-73.8045,"0.15000 -4.90000 1.10000, -2.95000 -7.25000 0.10000"
145,0.0000,Tx-Rx,0,-73.6494,"0.15000 -4.90000 1.10000, -2.65000 -7.25000 0.10000"
146,0.0000,Tx-Rx,0,-73.1862,"0.15000 -4.90000 1.10000, -2.35000 -7.25000 0.10000"
147,0.0000,Tx-Rx,0,-79.8596,"0.15000 -4.90000 1.10000, -2.05000 -7.25000 0.10000"
148,0.0000,Tx-Rx,0,-81.2934,"0.15000 -4.90000 1.10000, -1.75000 -7.25000 0.10000"
149,0.0000,Tx-Rx,0,-82.9848,"0.15000 -4.90000 1.10000, -1.45000 -7.25000 0.10000"
150,0.0000,Tx-Rx,0,-82.5822,"0.15000 -4.90000 1.10000, -1.15000 -7.25000 0.10000"
151,0.0000,Tx-Rx,0,-83.9646,"0.15000 -4.90000 1.10000, -0.85000 -7.25000 0.10000"
152,0.0000,Tx-Rx,0,-77.8560,"0.15000 -4.90000 1.10000, -0.55000 -7.25000 0.10000"
153,0.0000,Tx-Rx,0,-77.5859,"0.15000 -4.90000 1.10000, -0.25000 -7.25000 0.10000"
154,0.0000,Tx-Rx,0,-58.0384,"0.15000 -4.90000 1.10000, 0.05000 -7.25000 0.10000"
155,0.0000,Tx-Rx,0,-71.7855,"0.15000 -4.90000 1.10000, 0.35000 -7.25000 0.10000"
156,0.0000,Tx-Rx,0,-56.1075,"0.15000 -4.90000 1.10000, 0.65000 -7.25000 0.10000"
157,0.0000,Tx-Rx,0,-52.2448,"0.15000 -4.90000 1.10000, 0.95000 -7.25000 0.10000"
158,0.0000,Tx-Rx,0,-51.0646,"0.15000 -4.90000 1.10000, 1.25000 -7.25000 0.10000"
159,0.0000,Tx-Rx,0,-50.6619,"0.15000 -4.90000 1.10000, 1.55000 -7.25000 0.10000"
160,0.0000,Tx-Rx,0,-50.6207,"0.15000 -4.90000 1.10000, 1.85000 -7.25000 0.10000"
161,0.0000,Tx-Rx,0,-49.7965,"0.15000 -4.90000 1.10000, 2.15000 -7.25000 0.10000"
162,0.0000,Tx-Rx,0,-45.6139,"0.15000 -4.90000 1.10000, 2.45000 -7.25000 0.10000"
163,0.0000,Tx-Rx,0,-53.9494,"0.15000 -4.90000 1.10000, 2.75000 -7.25000 0.10000"
164,0.0000,Tx-Rx,0,-57.8282,"0.15000 -4.90000 1.10000, 3.05000 -7.25000 0.10000"
165,0.0000,Tx-Rx,0,-63.1133,"0.15000 -4.90000 1.10000, 3.35000 -7.25000 0.10000"
166,0.0000,Tx-Rx,0,-63.8511,"0.15000 -4.90000 1.10000, 3.65000 -7.25000 0.10000"
167,0.0000,Tx-Rx,0,-56.6819,"0.15000 -4.90000 1.10000, 3.95000 -7.25000 0.10000"
168,0.0000,Tx-Rx,0,-50.2836,"0.15000 -4.90000 1.10000, 4.25000 -7.25000 0.10000"
169,0.0000,Tx-Rx,0,-50.3948,"0.15000 -4.90000 1.10000, 4.55000 -7.25000 0.10000"
170,0.0000,Tx-Rx,0,-56.7448,"0.15000 -4.90000 1.10000, 4.85000 -7.25000 0.10000"
171,0.0000,Tx-Rx,0,-57.7528,"0.15000 -4.90000 1.10000, 5.15000 -7.25000 0.10000"
172,0.0000,Tx-Rx,0,-59.8948,"0.15000 -4.90000 1.10000, 5.45000 -7.25000 0.10000"
173,0.0000,Tx-Rx,0,-60.4976,"0.15000 -4.90000 1.10000, 5.75000 -7.25000 0.10000"
174,0.0000,Tx-Rx,0,-59.6350,"0.15000 -4.90000 1.10000, 6.05000 -7.25000 0.10000"
175,0.0000,Tx-Rx,0,-55.6949,"0.15000 -4.90000 1.10000, 6.35000 -7.25000 0.10000"
176,0.0000,Tx-Rx,0,-53.1584,"0.15000 -4.90000 1.10000, 6.65000 -7.25000 0.10000"
177,0.0000,Tx-Rx,0,-51.6979,"0.15000 -4.90000 1.10000, 6.95000 -7.25000 0.10000"
178,0.0000,Tx-Rx,0,-51.4616,"0.15000 -4.90000 1.10000, 7.25000 -7.25000 0.10000"
179,0.0000,Tx-Rx,0,-51.4264,"0.15000 -4.90000 1.10000, 7.55000 -7.25000 0.10000"
180,0.0000,Tx-Rx,0,-51.6846,"0.15000 -4.90000 1.10000, 7.85000 -7.25000 0.10000"
181,0.0000,Tx-Rx,0,-122.1227,"0.15000 -4.90000 1.10000, -9.85000 -6.95000 0.10000"
182,0.0000,Tx-Rx,0,-119.8639,"0.15000 -4.90000 1.10000, -9.55000 -6.95000 0.10000"
183,0.0000,Tx-Rx,0,-123.3155,"0.15000 -4.90000 1.10000, -9.25000 -6.95000 0.10000"
184,0.0000,Tx-Rx,0,-121.5238,"0.15000 -4.90000 1.10000, -8.95000 -6.95000 0.10000"
185,0.0000,Tx-Rx,0,-101.5584,"0.15000 -4.90000 1.10000, -8.65000 -6.95000 0.10000"
186,0.0000,Tx-Rx,0,-102.7265,"0.15000 -4.90000 1.10000, -8.35000 -6.95000 0.10000"
187,0.0000,Tx-Rx,0,-83.2955,"0.15000 -4.90000 1.10000, -8.05000 -6.95000 0.10000"
188,0.0000,Tx-Rx,0,-77.1552,"0.15000 -4.90000 1.10000, -7.75000 -6.95000 0.10000"
189,0.0000,Tx-Rx,0,-77.9650,"0.15000 -4.90000 1.10000, -7.45000 -6.95000 0.10000"
190,0.0000,Tx-Rx,0,-77.5107,"0.15000 -4.90000 1.10000, -7.15000 -6.95000 0.10000"
191,0.0000,Tx-Rx,0,-78.6185,"0.15000 -4.90000 1.10000, -6.85000 -6.95000 0.10000"
192,0.0000,Tx-Rx,0,-77.9002,"0.15000 -4.90000 1.10000, -6.55000 -6.95000 0.10000"
193,0.0000,Tx-Rx,0,-76.4566,"0.15000 -4.90000 1.10000, -6.25000 -6.95000 0.10000"
194,0.0000,Tx-Rx,0,-75.9077,"0.15000 -4.90000 1.10000, -5.95000 -6.95000 0.10000"
195,0.0000,Tx-Rx,0,-75.3302,"0.15000 -4.90000 1.10000, -5.65000 -6.95000 0.10000"
196,0.0000,Tx-Rx,0,-75.3302,"0.15000 -4.90000 1.10000, -5.35000 -6.95000 0.10000"
197,0.0000,Tx-Rx,0,-74.6385,"0.15000 -4.90000 1.10000, -5.05000 -6.95000 0.10000"
198,0.0000,Tx-Rx,0,-74.3502,"0.15000 -4.90000 1.10000, -4.75000 -6.95000 0.10000"
199,0.0000,Tx-Rx,0,-74.2779,"0.15000 -4.90000 1.10000, -4.45000 -6.95000 0.10000"
200,0.0000,Tx-Rx,0,-73.5779,"0.15000 -4.90000 1.10000, -4.15000 -6.95000 0.10000"
201,0.0000,Tx-Rx,0,-74.1434,"0.15000 -4.90000 1.10000, -3.85000 -6.95000 0.10000"
202,0.0000,Tx-Rx,0,-73.9244,"0.15000 -4.90000 1.10000, -3.55000 -6.95000 0.10000"
203,0.0000,Tx-Rx,0,-73.3546,"0.15000 -4.90000 1.10000, -3.25000 -6.95000 0.10000"
204,0.0000,Tx-Rx,0,-73.1081,"0.15000 -4.90000 1.10000, -2.95000 -6.95000 0.10000"
205,0.0000,Tx-Rx,0,-72.5254,"0.15000 -4.90000 1.10000, -2.65000 -6.95000 0.10000"
206,0.0000,Tx-Rx,0,-73.2837,"0.15000 -4.90000 1.10000, -2.35000 -6.95000 0.10000"
207,0.0000,Tx-Rx,0,-79.4050,"0.15000 -4.90000 1.10000, -2.05000 -6.95000 0.10000"
208,0.0000,Tx-Rx,0,-80.3196,"0.15000 -4.90000 1.10000, -1.75000 -6.95000 0.10000"
209,0.0000,Tx-Rx,0,-81.1862,"0.15000 -4.90000 1.10000, -1.45000 -6.95000 0.10000"
210,0.0000,Tx-Rx,0,-81.5065,"0.15000 -4.90000 1.10000, -1.15000 -6.95000 0.10000"
211,0.0000,Tx-Rx,0,-82.1825,"0.15000 -4.90000 1.10000, -0.85000 -6.95000 0.10000"
212,0.0000,Tx-Rx,0,-78.1329,"0.15000 -4.90000 1.10000, -0.55000 -6.95000 0.10000"
213,0.0000,Tx-Rx,0,-77.0572,"0.15000 -4.90000 1.10000, -0.25000 -6.95000 0.10000"
214,0.0000,Tx-Rx,0,-56.0047,"0.15000 -4.90000 1.10000, 0.05000 -6.95000 0.10000"
215,0.0000,Tx-Rx,0,-69.0273,"0.15000 -4.90000 1.10000, 0.35000 -6.95000 0.10000"
216,0.0000,Tx-Rx,0,-52.7462,"0.15000 -4.90000 1.10000, 0.65000 -6.95000 0.10000"
217,0.0000,Tx-Rx,0,-49.8208,"0.15000 -4.90000 1.10000, 0.95000 -6.95000 0.10000"
218,0.0000,Tx-Rx,0,-49.5536,"0.15000 -4.90000 1.10000, 1.25000 -6.95000 0.10000"
219,0.0000,Tx-Rx,0,-49.9736,"0.15000 -4.90000 1.10000, 1.55000 -6.95000 0.10000"
220,0.0000,Tx-Rx,0,-49.4429,"0.15000 -4.90000 1.10000, 1.85000 -6.95000 0.10000"
221,0.0000,Tx-Rx,0,-49.5031,"0.15000 -4.90000 1.10000, 2.15000 -6.95000 0.10000"
222,0.0000,Tx-Rx,0,-45.4180,"0.15000 -4.90000 1.10000, 2.45000 -6.95000 0.10000"
223,0.0000,Tx-Rx,0,-50.6326,"0.15000 -4.90000 1.10000, 2.75000 -6.95000 0.10000"
224,0.0000,Tx-Rx,0,-51.9434,"0.15000 -4.90000 1.10000, 3.05000 -6.95000 0.10000"
225,0.0000,Tx-Rx,0,-52.2454,"0.15000 -4.90000 1.10000, 3.35000 -6.95000 0.10000"
226,0.0000,Tx-Rx,0,-51.1337,"0.15000 -4.90000 1.10000, 3.65000 -6.95000 0.10000"
227,0.0000,Tx-Rx,0,-48.4863,"0.15000 -4.90000 1.10000, 3.95000 -6.95000 0.10000"
228,0.0000,Tx-Rx,0,-48.5265,"0.15000 -4.90000 1.10000, 4.25000 -6.95000 0.10000"
229,0.0000,Tx-Rx,0,-49.9381,"0.15000 -4.90000 1.10000, 4.55000 -6.95000 0.10000"
230,0.0000,Tx-Rx,0,-53.0896,"0.15000 -4.90000 1.10000, 4.85000 -6.95000 0.10000"
231,0.0000,Tx-Rx,0,-53.6323,"0.15000 -4.90000 1.10000, 5.15000 -6.95000 0.10000"
232,0.0000,Tx-Rx,0,-53.7978,"0.15000 -4.90000 1.10000, 5.45000 -6.95000 0.10000"
233,0.0000,Tx-Rx,0,-52.6918,"0.15000 -4.90000 1.10000, 5.75000 -6.95000 0.10000"
234,0.0000,Tx-Rx,0,-51.2567,"0.15000 -4.90000 1.10000, 6.05000 -6.95000 0.10000"
235,0.0000,Tx-Rx,0,-51.2267,"0.15000 -4.90000 1.10000, 6.35000 -6.95000 0.10000"
236,0.0000,Tx-Rx,0,-51.3949,"0.15000 -4.90000 1.10000, 6.65000 -6.95000 0.10000"
237,0.0000,Tx-Rx,0,-51.2466,"0.15000 -4.90000 1.10000, 6.95000 -6.95000 0.10000"
